DATE,CSUSHPISA,Year,Month,PER_CAPITA_GDP,working_age_pop,Houses,CPI,UNRATE,EMP_RATE,Cons_Material,FEDFUNDS,% Urban population,Num_Households,median_income,Subsidy,% old_age_pop
2004-01-01,141.647,2004,1,52179.0,187567500.0,3.8,186.3,5.7,71.26120999999999,150.0,1.0,79.757,112000,65760.0,27.201,12.30471923
2004-02-01,143.192,2004,2,52275.666666666664,187830600.0,3.7,186.7,5.6,71.20414,153.4,1.01,79.757,112000,65760.0,27.201,12.30471923
2004-03-01,145.058,2004,3,52372.333333333336,188108000.0,3.6,187.1,5.8,71.04634,156.5,1.0,79.757,112000,65760.0,27.201,12.30471923
2004-04-01,146.592,2004,4,52469.0,188336800.0,4.0,187.4,5.6,71.19504,160.1,1.0,79.757,112000,65760.0,27.201,12.30471923
2004-05-01,148.186,2004,5,52591.0,188539500.0,3.8,188.2,5.6,71.14265,162.7,1.0,79.757,112000,65760.0,27.201,12.30471923
2004-06-01,149.851,2004,6,52713.0,188690600.0,3.9,188.9,5.6,71.10732,162.0,1.03,79.757,112000,65760.0,27.201,12.30471923
2004-07-01,151.338,2004,7,52835.0,188782800.0,4.5,189.1,5.5,71.29604,162.2,1.26,79.757,112000,65760.0,27.201,12.30471923
2004-08-01,152.634,2004,8,52970.666666666664,189029100.0,4.3,189.2,5.4,71.25793,165.9,1.43,79.757,112000,65760.0,27.201,12.30471923
2004-09-01,154.18,2004,9,53106.333333333336,189281900.0,4.1,189.8,5.4,71.16149,167.2,1.61,79.757,112000,65760.0,27.201,12.30471923
2004-10-01,155.752,2004,10,53242.0,189471600.0,3.9,190.8,5.5,71.2291,165.9,1.76,79.757,112000,65760.0,27.201,12.30471923
2004-11-01,157.528,2004,11,53401.0,189647800.0,4.3,191.7,5.4,71.36205,165.5,1.93,79.757,112000,65760.0,27.201,12.30471923
2004-12-01,159.331,2004,12,53560.0,189849000.0,4.1,191.7,5.4,71.30608000000001,166.3,2.16,79.757,112000,65760.0,27.201,12.30471923
2005-01-01,161.289,2005,1,53719.0,190030800.0,4.4,191.6,5.3,71.31815,168.6,2.28,79.928,113343,66780.0,27.651,12.36016288
2005-02-01,163.344,2005,2,53768.666666666664,190206400.0,4.3,192.4,5.4,71.23395,170.4,2.5,79.928,113343,66780.0,27.651,12.36016288
2005-03-01,165.813,2005,3,53818.333333333336,190429200.0,4.1,193.1,5.2,71.28214,170.0,2.63,79.928,113343,66780.0,27.651,12.36016288
2005-04-01,167.502,2005,4,53868.0,190493800.0,4.3,193.7,5.2,71.41856,170.0,2.79,79.928,113343,66780.0,27.651,12.36016288
2005-05-01,169.351,2005,5,53963.0,190683200.0,4.2,193.6,5.1,71.52468,168.1,3.0,79.928,113343,66780.0,27.651,12.36016288
2005-06-01,171.191,2005,6,54058.0,190897800.0,4.3,193.7,5.0,71.48533,167.8,3.04,79.928,113343,66780.0,27.651,12.36016288
2005-07-01,172.86,2005,7,54153.0,191053200.0,4.2,194.9,5.0,71.62051,167.2,3.26,79.928,113343,66780.0,27.651,12.36016288
2005-08-01,174.442,2005,8,54207.666666666664,191193200.0,4.5,196.1,4.9,71.81305,165.9,3.5,79.928,113343,66780.0,27.651,12.36016288
2005-09-01,176.437,2005,9,54262.333333333336,191475400.0,4.7,198.8,5.0,71.69244,168.9,3.62,79.928,113343,66780.0,27.651,12.36016288
2005-10-01,178.027,2005,10,54317.0,191700200.0,4.5,199.1,5.0,71.70146,171.6,3.78,79.928,113343,66780.0,27.651,12.36016288
2005-11-01,179.68,2005,11,54520.333333333336,191993800.0,5.0,198.1,5.0,71.56659,172.7,4.0,79.928,113343,66780.0,27.651,12.36016288
2005-12-01,180.91,2005,12,54723.666666666664,192185900.0,4.9,198.1,4.9,71.63467,173.5,4.16,79.928,113343,66780.0,27.651,12.36016288
2006-01-01,182.32,2006,1,54927.0,192324000.0,5.3,199.3,4.7,71.68746999999999,177.2,4.29,80.099,114384,67520.0,28.604,12.42207195
2006-02-01,183.287,2006,2,54933.0,192512200.0,6.1,199.4,4.8,71.76935999999999,177.7,4.49,80.099,114384,67520.0,28.604,12.42207195
2006-03-01,184.365,2006,3,54939.0,192619200.0,5.9,199.7,4.7,71.81908,178.3,4.59,80.099,114384,67520.0,28.604,12.42207195
2006-04-01,184.328,2006,4,54945.0,192790300.0,6.3,200.7,4.7,71.79715999999999,179.0,4.79,80.099,114384,67520.0,28.604,12.42207195
2006-05-01,184.155,2006,5,54925.333333333336,192948300.0,6.2,201.3,4.6,71.87263,179.9,4.94,80.099,114384,67520.0,28.604,12.42207195
2006-06-01,183.507,2006,6,54905.666666666664,193183000.0,6.3,201.8,4.6,72.01233,180.7,4.99,80.099,114384,67520.0,28.604,12.42207195
2006-07-01,183.066,2006,7,54886.0,193410800.0,7.3,202.9,4.7,72.02241,182.3,5.24,80.099,114384,67520.0,28.604,12.42207195
2006-08-01,182.593,2006,8,54996.0,193525600.0,6.7,203.8,4.7,72.10639,182.6,5.25,80.099,114384,67520.0,28.604,12.42207195
2006-09-01,182.798,2006,9,55106.0,193585100.0,6.7,202.8,4.5,72.05588,183.3,5.25,80.099,114384,67520.0,28.604,12.42207195
2006-10-01,183.197,2006,10,55216.0,193711000.0,7.3,201.9,4.4,72.24441,182.3,5.25,80.099,114384,67520.0,28.604,12.42207195
2006-11-01,183.608,2006,11,55230.666666666664,193924100.0,6.6,202.0,4.5,72.17589,179.8,5.25,80.099,114384,67520.0,28.604,12.42207195
2006-12-01,184.138,2006,12,55245.333333333336,194093200.0,6.5,203.1,4.4,72.3156,179.8,5.24,80.099,114384,67520.0,28.604,12.42207195
2007-01-01,184.516,2007,1,55260.0,194822600.0,7.2,203.437,4.6,72.1211,181.1,5.25,80.269,116011,68610.0,29.512,12.5078037
